comment,source
"The pasta was fresh and the service was warm and attentive.",Google
"We waited 45 minutes for appetizers and the food arrived cold.",Yelp
"Best tiramisu I have had in years. Will definitely come back.",TripAdvisor
"Portions were tiny for the price. Nice ambiance though.",Google
"Staff forgot our order twice but apologized and comped dessert.",Yelp
"The steak was cooked perfectly and the wine list had great options.",Google
"Too noisy for a date night but good for groups.",TripAdvisor
"Clean restaurant and friendly host. Nothing extraordinary on the menu.",Google
"Outstanding brunch — fluffy pancakes and excellent coffee.",Yelp
"Found a hair in the salad. Manager handled it professionally but still unpleasant.",Google
